date,year,month,day,season,season_number,season_label,temperature_avg,temperature_min,temperature_max,precipitation_total,rain_total,snowfall_total,humidity_avg,humidity_min,humidity_max,observation_hours
2015-01-01,2015,1,1,Winter,4,2015 Winter,-2.9958333333333336,-6.5,2.1,0.0,0.0,0.0,22.75,15.0,31.0,24
2015-01-02,2015,1,2,Winter,4,2015 Winter,-2.4250000000000003,-6.3,3.4,0.0,0.0,0.0,31.75,21.0,43.0,24
2015-01-03,2015,1,3,Winter,4,2015 Winter,-1.8333333333333333,-5.7,4.2,0.0,0.0,0.0,44.5,29.0,60.0,24
2015-01-04,2015,1,4,Winter,4,2015 Winter,0.1166666666666666,-5.5,7.8,0.0,0.0,0.0,45.541666666666664,22.0,63.0,24
2015-01-05,2015,1,5,Winter,4,2015 Winter,2.1374999999999997,-2.1,9.1,0.0,0.0,0.0,39.25,18.0,63.0,24
2015-01-06,2015,1,6,Winter,4,2015 Winter,-1.5333333333333332,-4.5,3.4,0.0,0.0,0.0,22.666666666666668,15.0,40.0,24
2015-01-07,2015,1,7,Winter,4,2015 Winter,-1.5041666666666667,-5.3,2.9,0.0,0.0,0.0,34.666666666666664,21.0,47.0,24
2015-01-08,2015,1,8,Winter,4,2015 Winter,-2.0083333333333333,-6.9,4.6,0.0,0.0,0.0,49.083333333333336,28.0,69.0,24
2015-01-09,2015,1,9,Winter,4,2015 Winter,-1.0958333333333334,-6.0,6.6,0.0,0.0,0.0,39.75,17.0,64.0,24
2015-01-10,2015,1,10,Winter,4,2015 Winter,0.2999999999999999,-5.2,9.0,0.0,0.0,0.0,45.208333333333336,25.0,63.0,24
2015-01-11,2015,1,11,Winter,4,2015 Winter,0.22916666666666666,-4.4,4.7,0.0,0.0,0.0,39.333333333333336,29.0,70.0,24
2015-01-12,2015,1,12,Winter,4,2015 Winter,-1.5833333333333333,-5.1,3.4,0.0,0.0,0.0,57.041666666666664,32.0,77.0,24
2015-01-13,2015,1,13,Winter,4,2015 Winter,-0.9291666666666667,-4.7,4.5,0.0,0.0,0.0,56.583333333333336,38.0,72.0,24
2015-01-14,2015,1,14,Winter,4,2015 Winter,-1.8333333333333333,-5.6,3.5,0.0,0.0,0.21000000000000002,69.66666666666667,46.0,89.0,24
