year,season,season_number,season_label,season_time,temperature_avg,temperature_min,temperature_max,precipitation_total,rain_total,snowfall_total,humidity_avg,humidity_min,humidity_max,observation_hours
2015,Spring,1,2015 Spring,8061,14.67961956521739,-6.4,35.4,73.9,73.9,0.0,40.42028985507246,8.0,97.0,2208
2015,Summer,2,2015 Summer,8062,25.86911231884058,14.3,40.2,299.9,299.9,0.0,62.31657608695652,8.0,100.0,2208
2015,Autumn,3,2015 Autumn,8063,12.393269230769231,-12.9,29.6,136.6,105.4,22.330000000000002,66.11996336996337,15.0,99.0,2184
2015,Winter,4,2015 Winter,8064,-0.6006944444444444,-8.5,12.6,6.7,2.6,3.7800000000000002,50.358333333333334,12.0,100.0,2160
2016,Spring,1,2016 Spring,8065,14.929981884057971,-5.5,35.4,51.699999999999996,51.699999999999996,0.0,39.049365942028984,8.0,97.0,2208
2016,Summer,2,2016 Summer,8066,26.205615942028984,14.7,36.9,427.8,427.8,0.0,65.46195652173913,14.0,100.0,2208
2016,Autumn,3,2016 Autumn,8067,12.66900183150183,-10.5,31.5,131.6,123.3,5.88,65.30952380952381,17.0,100.0,2184
2016,Winter,4,2016 Winter,8068,-1.809478021978022,-15.6,11.5,13.5,11.4,2.5900000000000003,47.54578754578755,12.0,98.0,2184
2017,Spring,1,2017 Spring,8069,15.724320652173914,-5.1,35.5,33.7,31.400000000000002,1.6099999999999999,38.8161231884058,5.0,100.0,2208
2017,Summer,2,2017 Summer,8070,26.013179347826085,12.9,38.1,478.2,478.2,0.0,67.19836956521739,13.0,100.0,2208
2017,Autumn,3,2017 Autumn,8071,12.493543956043956,-6.9,30.8,79.3,79.3,0.0,60.142857142857146,10.0,100.0,2184
2017,Winter,4,2017 Winter,8072,-0.9428703703703704,-9.7,15.8,3.3000000000000003,0.9,1.6800000000000002,44.757407407407406,8.0,99.0,2160
2018,Spring,1,2018 Spring,8073,14.47998188405797,-5.4,33.9,73.9,67.3,4.62,49.608695652173914,11.0,100.0,2208
2018,Summer,2,2018 Summer,8074,27.242164855072463,14.8,39.9,398.0,398.0,0.0,67.46286231884058,10.0,100.0,2208
2018,Autumn,3,2018 Autumn,8075,12.79606227106227,-4.3,31.5,35.5,35.5,0.0,51.80815018315018,12.0,100.0,2184
2018,Winter,4,2018 Winter,8076,-2.869953703703704,-14.9,10.8,4.5,2.8,1.1900000000000002,31.575,7.0,97.0,2160
2019,Spring,1,2019 Spring,8077,15.224365942028987,-4.1,36.9,58.9,57.800000000000004,0.77,37.268115942028984,7.0,99.0,2208
2019,Summer,2,2019 Summer,8078,26.192028985507246,16.5,38.3,317.4,317.4,0.0,63.42617753623188,15.0,100.0,2208
2019,Autumn,3,2019 Autumn,8079,14.23956043956044,-6.4,36.2,53.6,52.2,0.9800000000000001,55.0989010989011,11.0,100.0,2184
2019,Winter,4,2019 Winter,8080,-1.6577314814814814,-12.1,14.0,7.0,0.0,4.9,38.78842592592593,6.0,97.0,2160
2020,Spring,1,2020 Spring,8081,14.705389492753623,-4.1,34.0,52.5,51.8,0.49,40.28759057971015,5.0,100.0,2208
2020,Summer,2,2020 Summer,8082,26.18645833333333,14.6,37.4,331.2,331.2,0.0,65.39945652173913,13.0,100.0,2208
2020,Autumn,3,2020 Autumn,8083,12.946794871794872,-5.7,31.1,88.3,83.8,3.15,58.351190476190474,13.0,100.0,2184
2020,Winter,4,2020 Winter,8084,-1.429029304029304,-14.4,11.9,23.5,7.0,11.55,50.11767399267399,11.0,100.0,2184
2021,Spring,1,2021 Spring,8085,14.003940217391305,-5.0,32.3,51.6,47.9,2.59,47.44338768115942,6.0,100.0,2208
2021,Summer,2,2021 Summer,8086,25.272146739130434,12.6,36.1,462.6,462.6,0.0,71.1340579710145,13.0,100.0,2208
2021,Autumn,3,2021 Autumn,8087,12.455677655677656,-5.7,30.0,268.6,251.6,11.9,70.88507326007326,13.0,100.0,2184
2021,Winter,4,2021 Winter,8088,-1.0750462962962963,-19.9,22.0,18.3,14.5,2.66,47.148148148148145,8.0,100.0,2160
2022,Spring,1,2022 Spring,8089,14.360597826086957,-4.7,35.7,33.9,30.2,2.66,44.53442028985507,5.0,99.0,2208
2022,Summer,2,2022 Summer,8090,25.7830615942029,13.4,42.3,449.5,449.5,0.0,69.07201086956522,8.0,100.0,2208
2022,Autumn,3,2022 Autumn,8091,13.659615384615384,-10.0,31.4,44.1,44.1,0.0,58.9739010989011,8.0,100.0,2184
2022,Winter,4,2022 Winter,8092,-2.696759259259259,-12.0,14.0,7.5,0.1,5.25,38.88472222222222,10.0,96.0,2160
2023,Spring,1,2023 Spring,8093,15.11154891304348,-3.3,34.9,56.9,56.5,0.28,43.8455615942029,6.0,99.0,2208
2023,Summer,2,2023 Summer,8094,27.484873188405796,14.2,40.0,595.1,595.1,0.0,60.37635869565217,11.0,100.0,2208
2023,Autumn,3,2023 Autumn,8095,13.709890109890111,-7.0,31.7,56.9,56.9,0.0,60.547161172161175,12.0,100.0,2184
2023,Winter,4,2023 Winter,8096,-2.248009259259259,-16.2,13.7,29.7,3.8,18.13,47.45092592592592,8.0,100.0,2160
2024,Spring,1,2024 Spring,8097,15.43677536231884,-7.3,33.0,76.4,74.6,1.2600000000000002,45.78532608695652,8.0,99.0,2208
2024,Summer,2,2024 Summer,8098,27.095244565217392,15.0,38.4,599.8,599.8,0.0,66.43795289855072,9.0,100.0,2208
2024,Autumn,3,2024 Autumn,8099,13.779120879120878,-6.6,30.2,99.1,99.0,0.07,67.76602564102564,13.0,100.0,2184
2024,Winter,4,2024 Winter,8100,-1.4366300366300366,-11.5,12.7,4.9,0.7000000000000001,3.08,44.95375457875458,10.0,96.0,2184
2025,Spring,1,2025 Spring,8101,14.999139492753622,-4.6,31.6,99.3,96.6,1.8900000000000001,42.08740942028985,5.0,98.0,2208
2025,Summer,2,2025 Summer,8102,26.677038043478262,14.7,39.0,498.6,498.6,0.0,70.71286231884058,16.0,100.0,2208
2025,Autumn,3,2025 Autumn,8103,13.227609890109889,-4.0,30.2,126.8,126.8,0.0,68.61996336996337,11.0,100.0,2184
2025,Winter,4,2025 Winter,8104,-1.281388888888889,-12.4,16.1,4.7,0.0,3.29,38.78287037037037,8.0,99.0,2160
2026,Winter,4,2026 Winter,8108,-4.991666666666666,-10.3,1.8,0.0,0.0,0.0,40.041666666666664,16.0,61.0,24
