year,temperature_avg,temperature_min,temperature_max,precipitation_total,rain_total,snowfall_total,humidity_avg,humidity_min,humidity_max,observation_hours
2015,13.162214611872146,-12.9,40.2,517.1,481.8,26.11,54.797146118721464,8.0,100.0,8760
2016,13.040141165755921,-15.6,36.9,624.6,614.2,8.47,54.33025956284153,8.0,100.0,8784
2017,13.40247716894977,-9.7,38.1,594.5,589.8,3.29,52.75205479452055,5.0,100.0,8760
2018,12.998858447488585,-14.9,39.9,511.9,503.6,5.8100000000000005,50.21061643835616,7.0,100.0,8760
2019,13.580582191780822,-12.1,38.3,436.9,427.4,6.65,48.68173515981735,6.0,100.0,8760
2020,13.142531876138433,-14.4,37.4,495.5,473.8,15.190000000000001,53.53517759562842,5.0,100.0,8784
2021,12.740034246575343,-19.9,36.1,801.1,776.6,17.15,59.18630136986302,6.0,100.0,8760
2022,12.858995433789955,-12.0,42.3,535.0,523.9,7.91,52.92614155251142,5.0,100.0,8760
2023,13.60041095890411,-16.2,40.0,738.6,712.3,18.41,53.06518264840182,6.0,100.0,8760
2024,13.759870218579234,-11.5,38.4,780.2,774.1,4.41,56.23508652094718,8.0,100.0,8784
2025,13.48656392694064,-12.4,39.0,729.4,722.0,5.180000000000001,55.102739726027394,5.0,100.0,8760
2026,-4.991666666666666,-10.3,1.8,0.0,0.0,0.0,40.041666666666664,16.0,61.0,24
