year,season,tavg,prcp,GDD,extreme_high
2017,Autumn,19.82686567164179,0.0,993.4,22
2017,Spring,9.938666666666666,0.0,445.1,3
2017,Summer,26.0258064516129,0.0,1303.6,45
2017,Winter,-0.18124999999999997,0.0,27.200000000000003,0
2018,Autumn,19.952857142857145,0.0,1046.7,22
2018,Spring,7.944444444444445,0.0,382.7,0
2018,Summer,25.9,0.0,1295.8,44
2018,Winter,-0.013749999999999995,0.0,33.4,0
2019,Autumn,20.476923076923075,0.0,1006.0,32
2019,Spring,8.450000000000001,0.0,346.1,0
2019,Summer,26.22063492063492,0.0,1336.9,53
2019,Winter,0.2558441558441558,0.0,52.9,0
2020,Autumn,19.15945945945946,0.0,1047.8,24
2020,Spring,9.971428571428572,0.0,367.3,3
2020,Summer,25.26212121212121,0.0,1337.3,53
2020,Winter,0.17317073170731703,0.0,52.6,0
2021,Autumn,18.729824561403507,0.0,782.6,19
2021,Spring,8.87638888888889,0.0,383.7,0
2021,Summer,24.494642857142857,0.0,1091.7,37
2021,Winter,0.05199999999999999,0.0,38.4,0
2022,Autumn,19.327397260273973,0.0,1045.9,35
2022,Spring,7.596153846153846,0.0,377.9,0
2022,Summer,24.953030303030303,0.0,1316.9,48
2022,Winter,-0.38354430379746834,0.0,44.4,0
2023,Autumn,20.886486486486486,0.0,1175.6,27
2023,Spring,8.597402597402597,0.0,389.1,0
2023,Summer,26.79402985074627,0.0,1460.2,52
2023,Winter,-0.7112676056338028,0.0,43.7,0
2024,Autumn,19.91969696969697,0.0,984.7,22
2024,Spring,8.343055555555557,0.0,373.9,0
2024,Summer,25.883076923076924,0.0,1357.4,52
2024,Winter,1.5961038961038962,0.0,81.3,0
2025,Autumn,18.788679245283017,0.0,730.8,18
2025,Spring,9.121518987341773,0.0,466.09999999999997,4
2025,Summer,25.81607142857143,0.0,1165.7,43
2025,Winter,1.0960526315789474,0.0,56.1,0
2026,Spring,8.895833333333334,0.0,380.2,0
2026,Summer,19.3,0.0,14.3,0
2026,Winter,-3.773076923076923,0.0,0.0,0
