common_name,season,month,month_name,n_years,intercept,temperature_beta,humidity_beta,prcp_beta,temperature_standardized_beta,humidity_standardized_beta,prcp_standardized_beta,r_squared,adjusted_r_squared,rmse
Amur Stonechat,Spring,4,April,9,-0.012825589231215843,0.000842811244351966,4.678340569257021e-05,2.7174938315100353e-05,0.4670441865742686,0.19703287121310262,0.2857219585195959,0.5181451403528808,0.22903222456460937,0.0009938423945317384
Amur Stonechat,Spring,5,May,9,0.030567826317072767,-0.0007004717141640002,-0.00017325703790075248,-1.9107122502127293e-05,-0.4316617622197627,-0.6542507574156469,-0.2488566154122597,0.6283916102607705,0.4054265764172328,0.0009369775039990305
Arctic Warbler,Spring,5,May,9,-0.002460405883045387,0.0002820516277041489,2.3482347289461345e-05,2.0819775145349765e-05,0.3052561166121437,0.1557319219762157,0.4762255859704467,0.34325364070494735,-0.05079417487208415,0.0007092550845058042
Ashy Minivet,Spring,5,May,8,-0.0029639616715857343,0.00020675638657134568,-2.2312421954557713e-05,7.830658937527122e-07,0.6187462350959113,-0.48846827764833095,0.061590353194667956,0.6991664859768875,0.47354135045955303,0.00014353106944931258
Asian Brown Flycatcher,Spring,5,May,9,0.00014328657192412108,0.00023369492360058325,-2.9518444283371825e-05,2.12429245815781e-06,0.28472136104216783,-0.22037615917355266,0.05469983359519827,0.1573963155036412,-0.3481658951941742,0.000713641816429302
Asian Short-toed Lark,Spring,3,March,8,0.0006650422108641389,5.035308505608864e-07,-3.038472827033264e-06,-7.32653225714576e-06,0.0012102498516895078,-0.0685019157070158,-0.11815286376709157,0.027614209627657482,-0.7016751331515994,0.00035151083344829934
Asian Short-toed Lark,Spring,4,April,8,0.004975422912810442,-0.00026048430001106125,-2.150520183876017e-05,4.547903778879741e-05,-0.2583980004824228,-0.16249752577150942,0.7972441419849257,0.42020725651936053,-0.01463730109111916,0.0006153035601961198
Asian Stubtail,Spring,5,May,9,0.00941239408295363,-0.0002600009575889354,-5.450341553248912e-05,1.569230418915638e-05,-0.35351105488601897,-0.45410067032225304,0.45093681765791555,0.2270551583564806,-0.23671174662963113,0.0006124710776405568
Baer's Pochard,Spring,3,March,9,-0.0065222231505443614,0.0006292713083922005,6.467915683971484e-05,-6.506230256883034e-05,0.5082237936835979,0.49295610824162195,-0.3932635972272555,0.2018060446424187,-0.27711032857213014,0.0008936355939841407
Baer's Pochard,Spring,4,April,8,-0.0006630911007396805,0.0001124162811402011,-3.0113506982375874e-06,-1.937621838785789e-05,0.33469353202651003,-0.06829282447363902,-1.0194351386970013,0.9675603767691145,0.9432306593459505,4.849315401112732e-05
Baikal Bush Warbler,Spring,5,May,9,0.003622946496982345,-0.00018552255195161669,3.934856111563465e-05,-1.3121672581192318e-05,-0.3750277849109509,0.4874117149254773,-0.5606048587286243,0.40389771596687385,0.04623634554699818,0.0003617704109778642
Baillon's Crake,Spring,5,May,9,0.003633116209148664,-0.00011748208245893748,-1.2682610856751424e-05,-3.6599312633162604e-06,-0.5341472484842278,-0.3533445513499521,-0.35169258672251674,0.47464260849642337,0.1594281735942774,0.0001510001746000962
Bank Swallow,Spring,5,May,9,0.010269269990727853,-0.00026220428213406284,-8.254659022202947e-05,1.3857861949257005e-05,-0.45985795998873785,-0.8871221827077056,0.5136663123928483,0.49365116697334677,0.18984186715735485,0.0003843088306407093
Barn Swallow,Spring,3,March,9,0.011532268051305148,-0.00025774064447238947,-7.953447367833117e-05,-2.7711549096135463e-05,-0.08120871984960966,-0.2364841320842523,-0.06534582020222589,0.06229058861600034,-0.5003350582143995,0.002482776851797361
