common_name,season,environment_factor,selected_month,month_name,correlation,absolute_correlation,n_years
Amur Stonechat,Spring,temperature,4.0,April,0.5720813737152234,0.5720813737152234,9
Amur Stonechat,Spring,humidity,5.0,May,-0.6504089629231473,0.6504089629231473,9
Amur Stonechat,Spring,prcp,5.0,May,-0.5678602639507684,0.5678602639507684,9
Anser sp.,Spring,temperature,,,,,0
Anser sp.,Spring,humidity,,,,,0
Anser sp.,Spring,prcp,,,,,0
Arctic Warbler,Spring,temperature,5.0,May,0.15320591444728293,0.15320591444728293,9
Arctic Warbler,Spring,humidity,5.0,May,0.33895286221438836,0.33895286221438836,9
Arctic Warbler,Spring,prcp,5.0,May,0.5117339863841233,0.5117339863841233,9
Ashy Minivet,Spring,temperature,5.0,May,0.7070167415157955,0.7070167415157955,8
Ashy Minivet,Spring,humidity,5.0,May,-0.5688595118998678,0.5688595118998678,8
Ashy Minivet,Spring,prcp,5.0,May,-0.26249706567342046,0.26249706567342046,8
Asian Brown Flycatcher,Spring,temperature,5.0,May,0.3544436933920781,0.3544436933920781,9
Asian Brown Flycatcher,Spring,humidity,5.0,May,-0.2906881247370678,0.2906881247370678,9
Asian Brown Flycatcher,Spring,prcp,5.0,May,-0.13861299459872564,0.13861299459872564,9
Asian Short-toed Lark,Spring,temperature,5.0,May,0.5643964200444602,0.5643964200444602,7
Asian Short-toed Lark,Spring,humidity,4.0,April,0.29044581851444146,0.29044581851444146,8
Asian Short-toed Lark,Spring,prcp,4.0,April,0.5836123766628876,0.5836123766628876,8
Asian Stubtail,Spring,temperature,5.0,May,-0.2773592474165723,0.2773592474165723,9
Asian Stubtail,Spring,humidity,5.0,May,-0.045480493767295585,0.045480493767295585,9
Asian Stubtail,Spring,prcp,5.0,May,0.24028394061124653,0.24028394061124653,9
Baer's Pochard,Spring,temperature,5.0,May,-0.9649643153499831,0.9649643153499831,6
Baer's Pochard,Spring,humidity,4.0,April,-0.6458364836592435,0.6458364836592435,8
Baer's Pochard,Spring,prcp,4.0,April,-0.9356068191139967,0.9356068191139967,8
Baikal Bush Warbler,Spring,temperature,5.0,May,-0.44147713869593885,0.44147713869593885,9
Baikal Bush Warbler,Spring,humidity,5.0,May,0.27746674822711953,0.27746674822711953,9
Baikal Bush Warbler,Spring,prcp,5.0,May,-0.18389241077669613,0.18389241077669613,9
Baillon's Crake,Spring,temperature,5.0,May,-0.33464453261764765,0.33464453261764765,9
Baillon's Crake,Spring,humidity,5.0,May,-0.37568599930069324,0.37568599930069324,9
Baillon's Crake,Spring,prcp,5.0,May,-0.4638896509802701,0.4638896509802701,9
Bank Swallow,Spring,temperature,4.0,April,-0.47579764477878445,0.47579764477878445,7
Bank Swallow,Spring,humidity,5.0,May,-0.40073904563702956,0.40073904563702956,9
Bank Swallow,Spring,prcp,4.0,April,-0.2696523268200249,0.2696523268200249,7
Bar-headed Goose,Spring,temperature,5.0,May,0.8778823949689514,0.8778823949689514,5
Bar-headed Goose,Spring,humidity,3.0,March,-0.6347541389960163,0.6347541389960163,6
Bar-headed Goose,Spring,prcp,4.0,April,0.8463626264767375,0.8463626264767375,6
Barn Swallow,Spring,temperature,4.0,April,-0.611884218976633,0.611884218976633,9
Barn Swallow,Spring,humidity,3.0,March,-0.2250317013975786,0.2250317013975786,9
Barn Swallow,Spring,prcp,5.0,May,-0.491849058865978,0.491849058865978,9
Black Kite,Spring,temperature,5.0,May,0.5692769558825963,0.5692769558825963,9
Black Kite,Spring,humidity,5.0,May,-0.1520629048827491,0.1520629048827491,9
Black Kite,Spring,prcp,4.0,April,0.36305578597526644,0.36305578597526644,9
