common_name,season,environment_factor,selected_month,month_name,correlation,absolute_correlation,n_years,correlation_direction,correlation_strength,group
Bluethroat,Spring,temperature,4.0,April,-0.11252601119266224,0.11252601119266224,6,Negative,Very Weak,Bottom 10%
Chinese Sparrowhawk,Spring,temperature,5.0,May,-0.016715664583328838,0.016715664583328838,9,Negative,Very Weak,Bottom 10%
Crested Lark,Spring,temperature,3.0,March,-0.05831558079669677,0.05831558079669677,8,Negative,Very Weak,Bottom 10%
Eastern Yellow Wagtail,Spring,temperature,4.0,April,0.13597932908709265,0.13597932908709265,9,Positive,Very Weak,Bottom 10%
Eurasian Whimbrel,Spring,temperature,5.0,May,0.029815638155843854,0.029815638155843854,8,Positive,Very Weak,Bottom 10%
Eurasian Woodcock,Spring,temperature,4.0,April,0.1422185881453291,0.1422185881453291,9,Positive,Very Weak,Bottom 10%
Gray-streaked Flycatcher,Spring,temperature,5.0,May,0.002304559009310879,0.002304559009310879,9,Positive,Very Weak,Bottom 10%
Greater Sand-Plover,Spring,temperature,5.0,May,-0.12438088113863585,0.12438088113863585,9,Negative,Very Weak,Bottom 10%
Hair-crested Drongo,Spring,temperature,5.0,May,0.06818415165555859,0.06818415165555859,9,Positive,Very Weak,Bottom 10%
Northern Boobook,Spring,temperature,5.0,May,-0.028204195902238206,0.028204195902238206,7,Negative,Very Weak,Bottom 10%
Oriental Pratincole,Spring,temperature,4.0,April,-0.1223396091300081,0.1223396091300081,9,Negative,Very Weak,Bottom 10%
Oriental Stork,Spring,temperature,4.0,April,-0.07973325914346713,0.07973325914346713,8,Negative,Very Weak,Bottom 10%
Pale-legged Leaf Warbler,Spring,temperature,5.0,May,0.06828927906710427,0.06828927906710427,8,Positive,Very Weak,Bottom 10%
Pallas's Gull,Spring,temperature,4.0,April,0.12415413774186278,0.12415413774186278,5,Positive,Very Weak,Bottom 10%
Tundra/Whooper Swan,Spring,temperature,3.0,March,0.07658149695368653,0.07658149695368653,5,Positive,Very Weak,Bottom 10%
White-throated Rock-Thrush,Spring,temperature,5.0,May,-0.0677743390265948,0.0677743390265948,8,Negative,Very Weak,Bottom 10%
passerine sp.,Spring,temperature,5.0,May,0.04301471576277204,0.04301471576277204,7,Positive,Very Weak,Bottom 10%
Asian House-Martin,Summer,temperature,7.0,July,0.13921188377313717,0.13921188377313717,5,Positive,Very Weak,Bottom 10%
Asian Koel,Summer,temperature,8.0,August,0.10588860291192234,0.10588860291192234,6,Positive,Very Weak,Bottom 10%
Broad-billed Sandpiper,Summer,temperature,8.0,August,-0.03946864686966292,0.03946864686966292,5,Negative,Very Weak,Bottom 10%
Chinese Bush Warbler,Summer,temperature,6.0,June,0.025188329745873844,0.025188329745873844,8,Positive,Very Weak,Bottom 10%
Eastern Crowned Warbler,Summer,temperature,8.0,August,-0.12502474830104965,0.12502474830104965,8,Negative,Very Weak,Bottom 10%
