common_name,record_years,record_year_months,first_year,last_year,total_species_records,average_species_proportion,minimum_species_proportion,maximum_species_proportion
Brambling,12,105,2015,2026,11031,0.013829885216045891,6.89893066574681e-05,0.033950617283950615
Barn Swallow,12,104,2015,2026,10555,0.015813106429370834,0.0001244090569793481,0.04245283018867924
Little Bunting,12,109,2015,2026,7249,0.007742963514594372,8.700191404210893e-05,0.01954022988505747
Naumann's Thrush,12,91,2015,2026,7069,0.011552167837346382,0.00010583130489998942,0.035493827160493825
Pallas's Leaf Warbler,12,113,2015,2026,6899,0.0071838815743084615,6.89893066574681e-05,0.027297193387158785
Yellow-browed Warbler,12,90,2015,2026,6232,0.008201142254411698,7.196315486470927e-05,0.029067572668931674
Common Merganser,12,97,2015,2026,5734,0.00847460431826383,3.267546725918181e-05,0.026305900037579856
Common Swift,12,70,2015,2026,5093,0.01062758838029348,8.066793046424393e-05,0.037037037037037035
Water Pipit,12,90,2015,2026,4764,0.0077854595670629545,7.641754546843955e-05,0.018193424832428983
Eastern Red-rumped Swallow,12,84,2015,2026,4536,0.00932034913386386,9.450902561194594e-05,0.027586206896551724
Eastern Buzzard,12,101,2015,2026,4517,0.005844534235721896,0.00011364927832708262,0.017270429654591406
Hawfinch,12,76,2015,2026,4100,0.00489738393419665,0.00012858428700012858,0.024475524475524476
Dusky Warbler,12,72,2015,2026,4029,0.005736897124981429,9.305788200260562e-05,0.017749721500185667
Oriental Reed Warbler,12,69,2015,2026,3961,0.010105870407245832,5.305321237200913e-05,0.02877697841726619
Olive-backed Pipit,12,95,2015,2026,3831,0.004450599684343916,7.100759781296599e-05,0.01826809015421115
Chinese Pond-Heron,12,97,2015,2026,3581,0.0069101941415611835,4.033396523212197e-05,0.02675343456254519
Swan Goose,12,109,2015,2026,3478,0.0030206804476373412,0.0001863238308179616,0.013148872665671761
Falcated Duck,12,97,2015,2026,3407,0.0041271305142602166,0.0001268874508311128,0.015151515151515152
Smew,12,79,2015,2026,3280,0.005681404580779032,8.700191404210893e-05,0.016535137166478767
Eurasian Wren,12,103,2015,2026,3182,0.005225219862770799,4.5355587808418e-05,0.023255813953488372
Black Drongo,12,58,2015,2026,3160,0.009652836780494809,4.7384382107657316e-05,0.022035676810073453
Black-headed Gull,12,110,2015,2026,3037,0.0044936176584745415,8.140670791273201e-05,0.02003338898163606
Amur Falcon,12,79,2015,2026,2997,0.00543367406572157,0.00033858134416793635,0.01669449081803005
Common Goldeneye,12,81,2015,2026,2995,0.0054792736598851385,0.0003634161114476075,0.01972386587771203
Red-throated Thrush,12,88,2015,2026,2961,0.004925513445679433,4.199386889514131e-05,0.020249221183800622
Common Cuckoo,12,56,2015,2026,2955,0.009942735708037376,4.070335395636601e-05,0.03597122302158273
Black-winged Stilt,12,74,2015,2026,2787,0.004795004054591901,8.124796880077999e-05,0.015512074739996475
Common Pochard,12,99,2015,2026,2647,0.0028236184366805675,3.267546725918181e-05,0.012180857500100836
Black-faced Bunting,12,109,2015,2026,2624,0.00281823516940427,6.89893066574681e-05,0.009523809523809525
Daurian Jackdaw,12,96,2015,2026,2613,0.0038196594190970413,6.89893066574681e-05,0.01839080459770115
Siberian Accentor,12,84,2015,2026,2606,0.0057863721997158,7.426661715558857e-05,0.023399014778325122
Eurasian Hobby,12,79,2015,2026,2457,0.004481755487099288,4.410143329658214e-05,0.015532286212914486
Dusky Thrush,12,89,2015,2026,2298,0.004522710333287696,7.641754546843955e-05,0.018159806295399514
Eurasian Skylark,12,102,2015,2026,2262,0.0035989513432420138,8.140670791273201e-05,0.014130434782608696
Hen Harrier,12,110,2015,2026,2231,0.0031700827321662632,8.700191404210893e-05,0.023715415019762844
Eastern Marsh Harrier,12,84,2015,2026,2157,0.0032730166057655637,8.700191404210893e-05,0.018363939899833055
Long-tailed Shrike,12,108,2015,2026,2018,0.002720506963796481,8.609556607834697e-05,0.007608695652173913
Little Ringed Plover,12,81,2015,2026,2009,0.003072364403319137,6.932889628397117e-05,0.013925612550678654
Tufted Duck,12,81,2015,2026,2006,0.002590483423729704,7.426661715558857e-05,0.007865123220263785
Mongolian Gull,12,94,2015,2026,1971,0.0022578334993568075,9.0711175616836e-05,0.011161307467446186
Common Tern,12,62,2015,2026,1904,0.0037526480580915423,0.00011936022917164001,0.010092222028884636
Eastern Yellow Wagtail,12,57,2015,2026,1889,0.004051026414601064,6.89893066574681e-05,0.013268345518548606
Black Kite,12,75,2015,2026,1809,0.0026586390698330946,4.652894100130281e-05,0.009688839202534005
Common Snipe,12,99,2015,2026,1804,0.0024946160694328005,8.140670791273201e-05,0.010416666666666666
