common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Siberian Crane,23,4,80,23,80,1.0,High,Spring,Summer,23,0,0.0,False,Spring,春候鸟
Oriental Plover,41,11,104,44,111,0.9318181818181818,High,Spring,Autumn,41,2,0.04878048780487805,False,Spring,春候鸟
Citrine Wagtail,275,12,807,307,862,0.8957654723127035,High,Spring,Autumn,275,21,0.07636363636363637,False,Spring,春候鸟
Northern Boobook,17,8,25,19,27,0.8947368421052632,High,Spring,Summer,17,1,0.058823529411764705,False,Spring,春候鸟
Greater Sand-Plover,110,12,218,124,243,0.8870967741935484,High,Spring,Summer,110,12,0.10909090909090909,False,Spring,春候鸟
Lesser White-fronted Goose,28,5,75,32,86,0.875,High,Spring,Autumn,28,3,0.10714285714285714,False,Spring,春候鸟
Ruff,13,6,38,15,52,0.8666666666666667,High,Spring,Summer,13,1,0.07692307692307693,False,Spring,春候鸟
Mongolian Short-toed Lark,61,10,92,71,107,0.8591549295774648,High,Spring,Autumn,61,9,0.14754098360655737,False,Spring,春候鸟
Garganey,327,12,1075,387,1172,0.8449612403100775,High,Spring,Autumn,327,47,0.1437308868501529,False,Spring,春候鸟
Gray-headed Lapwing,329,12,810,390,898,0.8435897435897436,High,Spring,Summer,329,39,0.11854103343465046,False,Spring,春候鸟
Chestnut Bunting,111,11,355,134,384,0.8283582089552238,High,Spring,Autumn,111,20,0.18018018018018017,False,Spring,春候鸟
Common Redshank,128,11,277,156,321,0.8205128205128205,High,Spring,Autumn,128,22,0.171875,False,Spring,春候鸟
Siberian Thrush,18,6,35,22,46,0.8181818181818182,High,Spring,Autumn,18,3,0.16666666666666666,False,Spring,春候鸟
White-naped Crane,66,12,152,81,172,0.8148148148148148,High,Spring,Winter,66,8,0.12121212121212122,False,Spring,春候鸟
Oriental Stork,112,11,250,141,296,0.7943262411347518,High,Spring,Autumn,112,16,0.14285714285714285,False,Spring,春候鸟
Siberian House-Martin,15,7,25,19,29,0.7894736842105263,High,Spring,Summer,15,2,0.13333333333333333,False,Spring,春候鸟
Oriental Cuckoo,11,5,16,14,19,0.7857142857142857,High,Spring,Summer,11,3,0.2727272727272727,False,Spring,春候鸟
Eurasian Curlew,53,10,115,69,146,0.7681159420289855,High,Spring,Summer,53,11,0.20754716981132076,False,Spring,春候鸟
Gray-streaked Flycatcher,39,11,72,51,87,0.7647058823529411,High,Spring,Summer,39,9,0.23076923076923078,False,Spring,春候鸟
Oriental Pratincole,115,11,235,153,311,0.7516339869281046,High,Spring,Summer,115,25,0.21739130434782608,False,Spring,春候鸟
Black-winged Cuckooshrike,9,4,11,12,15,0.75,High,Spring,Summer,9,2,0.2222222222222222,False,Spring,春候鸟
Daurian Starling,153,12,369,210,451,0.7285714285714285,High,Spring,Summer,153,53,0.3464052287581699,False,Spring,春候鸟
Kentish Plover,227,12,513,312,685,0.7275641025641025,High,Spring,Summer,227,57,0.2511013215859031,False,Spring,春候鸟
Gull-billed Tern,145,12,329,202,432,0.7178217821782178,High,Spring,Summer,145,49,0.33793103448275863,False,Spring,春候鸟
Northern Shoveler,340,12,1215,479,1472,0.7098121085594989,High,Spring,Autumn,340,106,0.31176470588235294,False,Spring,春候鸟
Eurasian Whimbrel,34,10,60,48,82,0.7083333333333334,High,Spring,Autumn,34,10,0.29411764705882354,False,Spring,春候鸟
Larus sp.,7,2,10,10,15,0.7,High,Spring,Autumn,7,2,0.2857142857142857,False,Spring,春候鸟
Gray-faced Buzzard,280,12,761,402,1103,0.6965174129353234,Medium,Spring,Autumn,280,90,0.32142857142857145,False,Spring,春候鸟
Little Tern,66,11,119,95,160,0.6947368421052632,Medium,Spring,Summer,66,26,0.3939393939393939,False,Spring,春候鸟
Little Ringed Plover,481,12,1588,696,2009,0.6910919540229885,Medium,Spring,Summer,481,135,0.2806652806652807,False,Spring,春候鸟
Lesser Black-backed Gull,48,8,79,70,118,0.6857142857142857,Medium,Spring,Autumn,48,12,0.25,False,Spring,春候鸟
Temminck's Stint,159,11,331,233,495,0.6824034334763949,Medium,Spring,Autumn,159,40,0.25157232704402516,False,Spring,春候鸟
Osprey,302,12,972,443,1269,0.6817155756207675,Medium,Spring,Autumn,302,113,0.3741721854304636,False,Spring,春候鸟
Pied Avocet,218,11,631,321,834,0.6791277258566978,Medium,Spring,Autumn,218,55,0.25229357798165136,False,Spring,春候鸟
Pied Wheatear,19,8,50,28,59,0.6785714285714286,Medium,Spring,Summer,19,6,0.3157894736842105,False,Spring,春候鸟
Pale-legged Leaf Warbler,28,10,48,42,65,0.6666666666666666,Medium,Spring,Summer,28,9,0.32142857142857145,False,Spring,春候鸟
owl sp.,6,4,7,9,10,0.6666666666666666,Medium,Spring,Winter,6,2,0.3333333333333333,False,Spring,春候鸟
Eurasian Spoonbill,409,12,1260,614,1706,0.6661237785016286,Medium,Spring,Autumn,409,127,0.3105134474327628,False,Spring,春候鸟
Tundra/Whooper Swan,25,6,33,38,60,0.6578947368421053,Medium,Spring,Winter,25,7,0.28,False,Spring,春候鸟
Booted Eagle,63,9,131,97,246,0.6494845360824743,Medium,Spring,Autumn,63,34,0.5396825396825397,False,Spring,春候鸟
Oriental Scops-Owl,234,12,494,361,686,0.6481994459833795,Medium,Spring,Summer,234,101,0.43162393162393164,False,Spring,春候鸟
Northern Lapwing,325,12,1018,502,1413,0.647410358565737,Medium,Spring,Autumn,325,126,0.38769230769230767,False,Spring,春候鸟
Lesser Kestrel,14,7,20,22,30,0.6363636363636364,Medium,Spring,Autumn,14,8,0.5714285714285714,False,Spring,春候鸟
Tundra Swan,275,11,1093,439,1522,0.6264236902050114,Medium,Spring,Winter,275,92,0.33454545454545453,False,Spring,春候鸟
Demoiselle Crane,8,1,11,13,23,0.6153846153846154,Medium,Spring,Winter,8,3,0.375,False,Spring,春候鸟
swan sp.,8,6,17,13,22,0.6153846153846154,Medium,Spring,Winter,8,3,0.375,False,Spring,春候鸟
Marsh Sandpiper,83,11,148,135,248,0.6148148148148148,Medium,Spring,Autumn,83,30,0.3614457831325301,False,Spring,春候鸟
bird sp.,14,5,15,23,28,0.6086956521739131,Medium,Spring,Winter,14,4,0.2857142857142857,False,Spring,春候鸟
Taiga Bean-Goose,218,11,522,361,767,0.6038781163434903,Medium,Spring,Autumn,218,84,0.3853211009174312,False,Spring,春候鸟
Black-winged Stilt,495,12,2103,825,2787,0.6,Medium,Spring,Summer,495,276,0.5575757575757576,False,Spring,春候鸟
Eurasian Woodcock,72,11,115,121,217,0.5950413223140496,Medium,Spring,Autumn,72,26,0.3611111111111111,False,Spring,春候鸟
