common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Falcated Duck,477,12,1910,1094,3407,0.4360146252285192,Low,Spring,Winter,477,383,0.8029350104821803,True,Spring + Winter,春候鸟 + 冬候鸟
Japanese Grosbeak,13,6,22,34,62,0.38235294117647056,Low,Spring,Winter,13,12,0.9230769230769231,True,Spring + Winter,春候鸟 + 冬候鸟
Muscovy Duck,21,4,27,55,78,0.38181818181818183,Low,Spring,Winter,21,17,0.8095238095238095,True,Spring + Winter,春候鸟 + 冬候鸟
Ferruginous Duck/Baer's Pochard,2,2,5,6,9,0.3333333333333333,Low,Spring,Winter,2,2,1.0,True,Spring + Winter,春候鸟 + 冬候鸟
Little Owl,116,10,216,358,655,0.3240223463687151,Low,Spring,Winter,116,105,0.9051724137931034,True,Spring + Winter,春候鸟 + 冬候鸟
Black Swan,246,11,544,772,1512,0.31865284974093266,Low,Spring,Winter,246,225,0.9146341463414634,True,Spring + Winter,春候鸟 + 冬候鸟
crow sp.,66,10,106,209,319,0.3157894736842105,Low,Spring,Winter,66,64,0.9696969696969697,True,Spring + Winter,春候鸟 + 冬候鸟
Marsh/Willow Tit,12,4,15,38,47,0.3157894736842105,Low,Spring,Winter,12,10,0.8333333333333334,True,Spring + Winter,春候鸟 + 冬候鸟
Lapland Longspur,105,10,206,218,411,0.481651376146789,Low,Autumn,Winter,105,103,0.9809523809523809,True,Autumn + Winter,秋候鸟 + 冬候鸟
Redpoll,50,7,108,109,217,0.45871559633027525,Low,Autumn,Winter,50,48,0.96,True,Autumn + Winter,秋候鸟 + 冬候鸟
Dusky/Naumann's Thrush,157,11,298,386,633,0.4067357512953368,Low,Autumn,Winter,157,140,0.89171974522293,True,Autumn + Winter,秋候鸟 + 冬候鸟
Gray-backed Thrush,42,8,76,109,165,0.3853211009174312,Low,Autumn,Winter,42,39,0.9285714285714286,True,Autumn + Winter,秋候鸟 + 冬候鸟
Long-tailed Shrike,356,11,776,998,2018,0.35671342685370744,Low,Autumn,Winter,356,299,0.8398876404494382,True,Autumn + Winter,秋候鸟 + 冬候鸟
Common Chiffchaff,11,3,30,12,31,0.9166666666666666,High,Winter,Autumn,11,1,0.09090909090909091,False,Winter,冬候鸟
European Robin,86,7,263,94,278,0.9148936170212766,High,Winter,Spring,86,6,0.06976744186046512,False,Winter,冬候鸟
Wallcreeper,125,12,245,137,274,0.9124087591240876,High,Winter,Autumn,125,9,0.072,False,Winter,冬候鸟
White-capped Redstart,73,11,127,82,155,0.8902439024390244,High,Winter,Spring,73,4,0.0547945205479452,False,Winter,冬候鸟
Black-throated/Red-throated Thrush,8,3,10,9,11,0.8888888888888888,High,Winter,Spring,8,1,0.125,False,Winter,冬候鸟
Water Rail,156,8,280,177,340,0.8813559322033898,High,Winter,Spring,156,20,0.1282051282051282,False,Winter,冬候鸟
