year,month,common_name,species_records,total_records,species_proportion,year_month
2015,10,Accipitrine hawk sp. (former Accipiter sp.),2,870,0.0022988505747126436,2015-10-01
2016,5,Accipitrine hawk sp. (former Accipiter sp.),1,840,0.0011904761904761906,2016-05-01
2017,6,Accipitrine hawk sp. (former Accipiter sp.),3,1272,0.0023584905660377358,2017-06-01
2018,1,Accipitrine hawk sp. (former Accipiter sp.),1,3632,0.00027533039647577095,2018-01-01
2018,10,Accipitrine hawk sp. (former Accipiter sp.),4,5202,0.0007689350249903883,2018-10-01
2019,5,Accipitrine hawk sp. (former Accipiter sp.),1,8255,0.00012113870381586917,2019-05-01
2019,9,Accipitrine hawk sp. (former Accipiter sp.),3,5367,0.0005589714924538849,2019-09-01
2020,5,Accipitrine hawk sp. (former Accipiter sp.),3,11615,0.0002582866982350409,2020-05-01
2020,9,Accipitrine hawk sp. (former Accipiter sp.),2,5298,0.00037750094375235937,2020-09-01
2020,10,Accipitrine hawk sp. (former Accipiter sp.),6,4748,0.0012636899747262005,2020-10-01
2021,10,Accipitrine hawk sp. (former Accipiter sp.),6,6272,0.0009566326530612245,2021-10-01
2022,5,Accipitrine hawk sp. (former Accipiter sp.),3,22048,0.00013606676342525398,2022-05-01
2022,9,Accipitrine hawk sp. (former Accipiter sp.),4,8430,0.00047449584816132857,2022-09-01
2022,10,Accipitrine hawk sp. (former Accipiter sp.),6,12308,0.0004874878128046799,2022-10-01
2023,5,Accipitrine hawk sp. (former Accipiter sp.),4,18898,0.00021166260979997884,2023-05-01
2023,8,Accipitrine hawk sp. (former Accipiter sp.),1,6346,0.0001575795776867318,2023-08-01
2023,10,Accipitrine hawk sp. (former Accipiter sp.),2,18849,0.00010610642474401825,2023-10-01
2024,3,Accipitrine hawk sp. (former Accipiter sp.),2,21536,9.286775631500742e-05,2024-03-01
2024,5,Accipitrine hawk sp. (former Accipiter sp.),2,23813,8.398773779028262e-05,2024-05-01
2024,6,Accipitrine hawk sp. (former Accipiter sp.),1,11494,8.700191404210893e-05,2024-06-01
2024,8,Accipitrine hawk sp. (former Accipiter sp.),1,7835,0.00012763241863433312,2024-08-01
2024,9,Accipitrine hawk sp. (former Accipiter sp.),2,13465,0.00014853323431117713,2024-09-01
2024,10,Accipitrine hawk sp. (former Accipiter sp.),7,14424,0.0004853022739877981,2024-10-01
2025,3,Accipitrine hawk sp. (former Accipiter sp.),2,22675,8.820286659316427e-05,2025-03-01
2025,4,Accipitrine hawk sp. (former Accipiter sp.),8,21104,0.0003790750568612585,2025-04-01
2025,5,Accipitrine hawk sp. (former Accipiter sp.),2,30604,6.535093451836362e-05,2025-05-01
