common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Common Swift,559,12,3642,1000,5093,0.559,Medium,Spring,Summer,559,429,0.7674418604651163,True,Spring + Summer,春候鸟 + 夏候鸟
Scolopacidae sp.,5,3,7,9,11,0.5555555555555556,Medium,Spring,Autumn,5,4,0.8,True,Spring + Autumn,春候鸟 + 秋候鸟
Ashy Minivet,52,10,78,95,137,0.5473684210526316,Medium,Spring,Autumn,52,42,0.8076923076923077,True,Spring + Autumn,春候鸟 + 秋候鸟
European Starling,93,12,197,173,331,0.5375722543352601,Medium,Spring,Autumn,93,76,0.8172043010752689,True,Spring + Autumn,春候鸟 + 秋候鸟
Common Tern,324,12,1239,615,1904,0.526829268292683,Medium,Spring,Summer,324,260,0.8024691358024691,True,Spring + Summer,春候鸟 + 夏候鸟
Black Kite,304,12,925,583,1809,0.5214408233276158,Medium,Spring,Autumn,304,244,0.8026315789473685,True,Spring + Autumn,春候鸟 + 秋候鸟
Radde's Warbler,220,12,914,424,1460,0.5188679245283019,Medium,Spring,Autumn,220,182,0.8272727272727273,True,Spring + Autumn,春候鸟 + 秋候鸟
Eyebrowed Thrush,86,11,197,166,341,0.5180722891566265,Medium,Spring,Autumn,86,78,0.9069767441860465,True,Spring + Autumn,春候鸟 + 秋候鸟
Whiskered Tern,146,11,352,293,610,0.49829351535836175,Low,Spring,Summer,146,132,0.9041095890410958,True,Spring + Summer,春候鸟 + 夏候鸟
Eastern Crowned Warbler,163,12,432,333,840,0.4894894894894895,Low,Spring,Summer,163,151,0.9263803680981595,True,Spring + Summer,春候鸟 + 夏候鸟
Terek Sandpiper,16,5,31,33,67,0.48484848484848486,Low,Spring,Summer,16,13,0.8125,True,Spring + Summer,春候鸟 + 夏候鸟
Black-bellied Plover,11,5,20,23,44,0.4782608695652174,Low,Spring,Autumn,11,9,0.8181818181818182,True,Spring + Autumn,春候鸟 + 秋候鸟
Eastern Marsh Harrier,330,12,1085,692,2157,0.476878612716763,Low,Spring,Autumn,330,267,0.8090909090909091,True,Spring + Autumn,春候鸟 + 秋候鸟
Dendrocopos sp.,8,3,9,17,20,0.47058823529411764,Low,Spring,Autumn,8,6,0.75,True,Spring + Autumn,春候鸟 + 秋候鸟
Asian Short-toed Lark,89,12,150,190,323,0.46842105263157896,Low,Spring,Autumn,89,68,0.7640449438202247,True,Spring + Autumn,春候鸟 + 秋候鸟
Pied Harrier,168,12,376,361,870,0.46537396121883656,Low,Spring,Autumn,168,158,0.9404761904761905,True,Spring + Autumn,春候鸟 + 秋候鸟
Baikal Bush Warbler,65,11,147,140,292,0.4642857142857143,Low,Spring,Summer,65,53,0.8153846153846154,True,Spring + Summer,春候鸟 + 夏候鸟
Rook,206,12,535,444,1061,0.46396396396396394,Low,Spring,Autumn,206,163,0.7912621359223301,True,Spring + Autumn,春候鸟 + 秋候鸟
Baillon's Crake,49,12,80,106,240,0.46226415094339623,Low,Spring,Autumn,49,49,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
