common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Black-legged Kittiwake,16,5,47,32,98,0.5,Medium,Autumn,Spring,16,16,1.0,True,Autumn + Spring,秋候鸟 + 春候鸟
Baillon's Crake,49,12,80,106,240,0.46226415094339623,Low,Spring,Autumn,49,49,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
myna/starling sp.,4,3,7,11,18,0.36363636363636365,Low,Spring,Autumn,4,4,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
rail/crake sp.,2,2,7,5,12,0.4,Low,Autumn,Spring,2,2,1.0,True,Autumn + Spring,秋候鸟 + 春候鸟
Greater Scaup,47,7,117,108,238,0.4351851851851852,Low,Spring,Autumn,47,47,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
Graylag x Swan Goose (hybrid),49,8,78,134,216,0.3656716417910448,Low,Spring,Autumn,49,49,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
Chestnut-eared Bunting,98,12,199,216,428,0.4537037037037037,Low,Spring,Autumn,98,95,0.9693877551020408,True,Spring + Autumn,春候鸟 + 秋候鸟
Little Bunting,642,12,3133,1733,7249,0.3704558568955568,Low,Spring,Autumn,642,620,0.9657320872274143,True,Spring + Autumn,春候鸟 + 秋候鸟
Red-throated Pipit,167,11,354,339,725,0.49262536873156343,Low,Autumn,Spring,167,161,0.9640718562874252,True,Autumn + Spring,秋候鸟 + 春候鸟
passerine sp.,37,9,50,110,147,0.33636363636363636,Low,Spring,Autumn,37,35,0.9459459459459459,True,Spring + Autumn,春候鸟 + 秋候鸟
Common Greenshank,121,12,280,301,696,0.4019933554817276,Low,Spring,Autumn,121,114,0.9421487603305785,True,Spring + Autumn,春候鸟 + 秋候鸟
