common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Common Swift,559,12,3642,1000,5093,0.559,Medium,Spring,Summer,559,429,0.7674418604651163,True,Spring + Summer,春候鸟 + 夏候鸟
Common Tern,324,12,1239,615,1904,0.526829268292683,Medium,Spring,Summer,324,260,0.8024691358024691,True,Spring + Summer,春候鸟 + 夏候鸟
Whiskered Tern,146,11,352,293,610,0.49829351535836175,Low,Spring,Summer,146,132,0.9041095890410958,True,Spring + Summer,春候鸟 + 夏候鸟
Eastern Crowned Warbler,163,12,432,333,840,0.4894894894894895,Low,Spring,Summer,163,151,0.9263803680981595,True,Spring + Summer,春候鸟 + 夏候鸟
Terek Sandpiper,16,5,31,33,67,0.48484848484848486,Low,Spring,Summer,16,13,0.8125,True,Spring + Summer,春候鸟 + 夏候鸟
Baikal Bush Warbler,65,11,147,140,292,0.4642857142857143,Low,Spring,Summer,65,53,0.8153846153846154,True,Spring + Summer,春候鸟 + 夏候鸟
Red Collared-Dove,6,4,6,13,13,0.46153846153846156,Low,Spring,Summer,6,5,0.8333333333333334,True,Spring + Summer,春候鸟 + 夏候鸟
Gray Nightjar,52,11,84,113,175,0.46017699115044247,Low,Spring,Summer,52,49,0.9423076923076923,True,Spring + Summer,春候鸟 + 夏候鸟
Eurasian Crag-Martin,75,12,134,168,264,0.44642857142857145,Low,Spring,Summer,75,57,0.76,True,Spring + Summer,春候鸟 + 夏候鸟
Long-tailed Minivet,115,11,238,266,517,0.4323308270676692,Low,Spring,Summer,115,94,0.8173913043478261,True,Spring + Summer,春候鸟 + 夏候鸟
Siberian Blue Robin,153,11,663,361,1150,0.42382271468144045,Low,Spring,Summer,153,127,0.8300653594771242,True,Spring + Summer,春候鸟 + 夏候鸟
Eastern Cattle-Egret,122,12,234,308,540,0.3961038961038961,Low,Spring,Summer,122,117,0.9590163934426229,True,Spring + Summer,春候鸟 + 夏候鸟
Eurasian Wryneck,50,11,67,146,301,0.3424657534246575,Low,Spring,Summer,50,48,0.96,True,Spring + Summer,春候鸟 + 夏候鸟
heron sp.,2,1,3,6,7,0.3333333333333333,Low,Spring,Summer,2,2,1.0,True,Spring + Summer,春候鸟 + 夏候鸟
Calidris sp.,1,1,4,3,6,0.3333333333333333,Low,Spring,Summer,1,1,1.0,True,Spring + Summer,春候鸟 + 夏候鸟
