date,year,month,day,season,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2017-01-01,2017,1,1,Winter,-4.4,0,1,0.0,0.0,70.16666666666667
2017-01-02,2017,1,2,Winter,-1.2,0,1,0.0,0.0,47.625
2017-01-03,2017,1,3,Winter,-1.7,0,1,0.0,0.0,78.45833333333333
2017-01-04,2017,1,4,Winter,-0.1,0,1,0.0,0.0,65.0
2017-01-05,2017,1,5,Winter,-0.9,0,1,0.8,0.56,78.54166666666667
2017-01-06,2017,1,6,Winter,0.4,0,1,0.0,0.0,75.16666666666667
2017-01-09,2017,1,9,Winter,0.3,0,1,0.0,0.0,45.208333333333336
2017-01-10,2017,1,10,Winter,-2.4,0,1,0.0,0.0,40.75
2017-01-11,2017,1,11,Winter,-0.8,0,1,0.0,0.0,52.875
2017-01-12,2017,1,12,Winter,1.7,0,1,0.0,0.0,46.541666666666664
2017-01-14,2017,1,14,Winter,-2.1,0,1,0.0,0.0,27.583333333333332
2017-01-15,2017,1,15,Winter,-3.0,0,1,0.0,0.0,67.08333333333333
2017-01-16,2017,1,16,Winter,-1.6,0,1,0.0,0.0,66.79166666666667
2017-01-17,2017,1,17,Winter,-2.6,0,1,0.0,0.0,75.41666666666667
2017-01-18,2017,1,18,Winter,-2.3,0,1,0.0,0.0,36.0
2017-01-20,2017,1,20,Winter,-6.2,0,1,0.0,0.0,22.583333333333332
2017-01-21,2017,1,21,Winter,-5.1,0,1,0.0,0.0,21.833333333333332
2017-01-22,2017,1,22,Winter,-6.6,0,1,0.0,0.0,24.791666666666668
2017-01-23,2017,1,23,Winter,-6.8,0,1,0.0,0.0,26.25
2017-01-24,2017,1,24,Winter,-3.4,0,1,0.0,0.0,39.0
2017-01-25,2017,1,25,Winter,-2.9,0,1,0.0,0.0,61.333333333333336
2017-01-26,2017,1,26,Winter,0.4,0,1,0.0,0.0,50.875
2017-01-27,2017,1,27,Winter,-1.9,0,1,0.0,0.0,35.0
2017-01-28,2017,1,28,Winter,-1.6,0,1,0.0,0.0,55.041666666666664
2017-01-30,2017,1,30,Winter,-2.3,0,1,0.0,0.0,19.375
2017-01-31,2017,1,31,Winter,-1.5,0,1,0.0,0.0,29.291666666666668
2017-02-01,2017,2,1,Spring,-3.1,0,1,0.0,0.0,24.0
2017-02-02,2017,2,2,Spring,-2.3,0,1,0.0,0.0,30.041666666666668
2017-02-03,2017,2,3,Spring,0.2,0,1,0.0,0.0,49.916666666666664
2017-02-04,2017,2,4,Spring,3.3,0,1,0.0,0.0,76.0
2017-02-05,2017,2,5,Spring,3.8,0,1,0.0,0.0,42.125
2017-02-06,2017,2,6,Spring,0.4,0,1,0.0,0.0,37.416666666666664
2017-02-07,2017,2,7,Spring,-1.9,0,1,0.2,0.14,58.0
2017-02-11,2017,2,11,Spring,0.2,0,1,0.0,0.0,34.958333333333336
2017-02-12,2017,2,12,Spring,0.9,0,1,0.0,0.0,45.833333333333336
2017-02-13,2017,2,13,Spring,3.4,0,1,0.0,0.0,45.0
2017-02-14,2017,2,14,Spring,-1.1,0,1,0.0,0.0,70.54166666666667
2017-02-15,2017,2,15,Spring,2.5,0,1,0.0,0.0,68.875
2017-02-16,2017,2,16,Spring,3.7,0,1,0.0,0.0,45.5
2017-02-17,2017,2,17,Spring,1.0,0,1,0.0,0.0,29.708333333333332
2017-02-18,2017,2,18,Spring,3.5,0,1,0.0,0.0,49.75
2017-02-19,2017,2,19,Spring,5.0,0,1,0.0,0.0,44.458333333333336
2017-02-20,2017,2,20,Spring,-0.8,0,1,0.0,0.0,23.125
2017-02-22,2017,2,22,Spring,1.5,0,1,0.0,0.0,57.541666666666664
2017-02-23,2017,2,23,Spring,3.3,0,1,0.0,0.0,36.541666666666664
2017-02-24,2017,2,24,Spring,6.3,0,1,0.0,0.0,44.875
2017-02-25,2017,2,25,Spring,5.4,0,0,0.0,0.0,36.166666666666664
2017-02-26,2017,2,26,Spring,5.6,0,1,0.0,0.0,39.291666666666664
2017-02-27,2017,2,27,Spring,8.3,0,1,0.0,0.0,46.416666666666664
2017-02-28,2017,2,28,Spring,10.1,0,0,0.0,0.0,28.375
2017-03-02,2017,3,2,Spring,5.9,0,1,0.0,0.0,28.875
2017-03-03,2017,3,3,Spring,5.9,0,1,0.0,0.0,43.958333333333336
2017-03-04,2017,3,4,Spring,6.9,0,1,0.0,0.0,45.625
2017-03-05,2017,3,5,Spring,3.7,0,0,0.0,0.0,26.791666666666668
2017-03-06,2017,3,6,Spring,3.1,0,1,0.0,0.0,27.083333333333332
2017-03-09,2017,3,9,Spring,9.4,0,1,0.0,0.0,28.666666666666668
2017-03-10,2017,3,10,Spring,11.8,0,0,0.0,0.0,33.791666666666664
2017-03-11,2017,3,11,Spring,12.8,0,0,0.0,0.0,28.375
2017-03-12,2017,3,12,Spring,6.8,0,0,0.0,0.0,18.916666666666668
2017-03-13,2017,3,13,Spring,8.6,0,1,0.0,0.0,17.166666666666668
2017-03-14,2017,3,14,Spring,9.1,0,1,0.0,0.0,19.708333333333332
2017-03-15,2017,3,15,Spring,7.6,0,1,0.0,0.0,35.541666666666664
2017-03-16,2017,3,16,Spring,10.6,0,0,0.0,0.0,32.541666666666664
2017-03-17,2017,3,17,Spring,9.1,0,0,0.0,0.0,49.5
2017-03-18,2017,3,18,Spring,12.0,0,0,0.5,0.0,51.041666666666664
2017-03-19,2017,3,19,Spring,12.4,0,0,0.0,0.0,53.833333333333336
2017-03-21,2017,3,21,Spring,8.8,0,0,0.0,0.0,47.125
2017-03-26,2017,3,26,Spring,9.5,0,0,0.0,0.0,28.375
2017-03-27,2017,3,27,Spring,10.4,0,0,0.0,0.0,30.916666666666668
2017-03-28,2017,3,28,Spring,10.4,0,0,0.0,0.0,45.041666666666664
2017-03-29,2017,3,29,Spring,12.9,0,0,0.0,0.0,53.416666666666664
2017-03-30,2017,3,30,Spring,11.7,0,0,0.0,0.0,51.791666666666664
