year,season,season_number,season_label,season_time,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2017,Spring,1,2017 Spring,8069,9.938666666666666,3,30,33.7,1.6099999999999999,38.8161231884058
2017,Summer,2,2017 Summer,8070,26.0258064516129,45,0,478.2,0.0,67.19836956521739
2017,Autumn,3,2017 Autumn,8071,19.82686567164179,22,1,79.3,0.0,60.142857142857146
2017,Winter,4,2017 Winter,8072,-0.18124999999999997,0,73,3.3000000000000003,1.6800000000000002,44.757407407407406
2018,Spring,1,2018 Spring,8073,7.944444444444445,0,35,73.9,4.62,49.608695652173914
2018,Summer,2,2018 Summer,8074,25.9,44,0,398.0,0.0,67.46286231884058
2018,Autumn,3,2018 Autumn,8075,19.952857142857145,22,1,35.5,0.0,51.80815018315018
2018,Winter,4,2018 Winter,8076,-0.013749999999999995,0,68,4.5,1.1900000000000002,31.575
2019,Spring,1,2019 Spring,8077,8.450000000000001,0,32,58.9,0.77,37.268115942028984
2019,Summer,2,2019 Summer,8078,26.22063492063492,53,0,317.4,0.0,63.42617753623188
2019,Autumn,3,2019 Autumn,8079,20.476923076923075,32,0,53.6,0.9800000000000001,55.0989010989011
2019,Winter,4,2019 Winter,8080,0.2558441558441558,0,67,7.0,4.9,38.78842592592593
2020,Spring,1,2020 Spring,8081,9.971428571428572,3,25,52.5,0.49,40.28759057971015
2020,Summer,2,2020 Summer,8082,25.26212121212121,53,0,331.2,0.0,65.39945652173913
2020,Autumn,3,2020 Autumn,8083,19.15945945945946,24,0,88.3,3.15,58.351190476190474
2020,Winter,4,2020 Winter,8084,0.17317073170731703,0,70,23.5,11.55,50.11767399267399
2021,Spring,1,2021 Spring,8085,8.87638888888889,0,27,51.6,2.59,47.44338768115942
2021,Summer,2,2021 Summer,8086,24.494642857142857,37,0,462.6,0.0,71.1340579710145
2021,Autumn,3,2021 Autumn,8087,18.729824561403507,19,2,268.6,11.9,70.88507326007326
2021,Winter,4,2021 Winter,8088,0.05199999999999999,0,65,18.3,2.66,47.148148148148145
2022,Spring,1,2022 Spring,8089,7.596153846153846,0,38,33.9,2.66,44.53442028985507
2022,Summer,2,2022 Summer,8090,24.953030303030303,48,0,449.5,0.0,69.07201086956522
2022,Autumn,3,2022 Autumn,8091,19.327397260273973,35,1,44.1,0.0,58.9739010989011
2022,Winter,4,2022 Winter,8092,-0.38354430379746834,0,67,7.5,5.25,38.88472222222222
2023,Spring,1,2023 Spring,8093,8.597402597402597,0,37,56.9,0.28,43.8455615942029
2023,Summer,2,2023 Summer,8094,26.79402985074627,52,0,595.1,0.0,60.37635869565217
2023,Autumn,3,2023 Autumn,8095,20.886486486486486,27,0,56.9,0.0,60.547161172161175
2023,Winter,4,2023 Winter,8096,-0.7112676056338028,0,66,29.7,18.13,47.45092592592592
2024,Spring,1,2024 Spring,8097,8.343055555555557,0,41,76.4,1.2600000000000002,45.78532608695652
2024,Summer,2,2024 Summer,8098,25.883076923076924,52,0,599.8,0.0,66.43795289855072
2024,Autumn,3,2024 Autumn,8099,19.91969696969697,22,0,99.1,0.07,67.76602564102564
2024,Winter,4,2024 Winter,8100,1.5961038961038962,0,64,4.9,3.08,44.95375457875458
2025,Spring,1,2025 Spring,8101,9.121518987341773,4,37,99.3,1.8900000000000001,42.08740942028985
2025,Summer,2,2025 Summer,8102,25.81607142857143,43,0,498.6,0.0,70.71286231884058
2025,Autumn,3,2025 Autumn,8103,18.788679245283017,18,5,126.8,0.0,68.61996336996337
2025,Winter,4,2025 Winter,8104,1.0960526315789474,0,66,4.7,3.29,38.78287037037037
