date,tavg,tmin,tmax,prcp,snow,wspd,pres,year,month,day,season,breeding_season,temp_range,extreme_high,extreme_low,rain_day,strong_wind,GDD
2017-01-01,-4.4,-6.0,0.0,0.0,0.0,4.8,1025.4,2017,1,1,Winter,0,6.0,0,1,0,0,0.0
2017-01-02,-1.2,-8.0,8.0,0.0,0.0,7.5,1025.6,2017,1,2,Winter,0,16.0,0,1,0,0,0.0
2017-01-03,-1.7,-8.0,9.0,0.0,0.0,5.1,1022.8,2017,1,3,Winter,0,17.0,0,1,0,0,0.0
2017-01-04,-0.1,-9.0,5.0,0.0,0.0,5.6,1026.3,2017,1,4,Winter,0,14.0,0,1,0,0,0.0
2017-01-05,-0.9,-3.0,3.6,0.0,0.0,6.9,1030.6,2017,1,5,Winter,0,6.6,0,1,0,0,0.0
2017-01-06,0.4,-4.6,5.3,0.0,0.0,3.3,1027.0,2017,1,6,Winter,0,9.899999999999999,0,1,0,0,0.0
2017-01-09,0.3,-3.0,4.0,0.0,0.0,17.1,1025.9,2017,1,9,Winter,0,7.0,0,1,0,1,0.0
2017-01-10,-2.4,-6.0,4.3,0.0,0.0,15.8,1029.2,2017,1,10,Winter,0,10.3,0,1,0,1,0.0
2017-01-11,-0.8,-9.0,7.0,0.0,0.0,8.0,1025.1,2017,1,11,Winter,0,16.0,0,1,0,0,0.0
2017-01-12,1.7,-7.0,6.0,0.0,0.0,10.6,1020.8,2017,1,12,Winter,0,13.0,0,1,0,1,0.0
2017-01-14,-2.1,-9.0,3.0,0.0,0.0,9.5,1033.0,2017,1,14,Winter,0,12.0,0,1,0,0,0.0
2017-01-15,-3.0,-5.1,-1.0,0.0,0.0,6.9,1033.4,2017,1,15,Winter,0,4.1,0,1,0,0,0.0
2017-01-16,-1.6,-4.4,-0.1,0.0,0.0,4.8,1031.8,2017,1,16,Winter,0,4.300000000000001,0,1,0,0,0.0
2017-01-17,-2.6,-6.0,3.0,0.0,0.0,5.6,1030.8,2017,1,17,Winter,0,9.0,0,1,0,0,0.0
2017-01-18,-2.3,-5.8,2.0,0.0,0.0,8.6,1033.1,2017,1,18,Winter,0,7.8,0,1,0,0,0.0
2017-01-20,-6.2,-12.0,0.0,0.0,0.0,10.0,1033.6,2017,1,20,Winter,0,12.0,0,1,0,1,0.0
2017-01-21,-5.1,-12.0,0.0,0.0,0.0,18.2,1031.0,2017,1,21,Winter,0,12.0,0,1,0,1,0.0
2017-01-22,-6.6,-12.0,0.0,0.0,0.0,8.5,1035.3,2017,1,22,Winter,0,12.0,0,1,0,0,0.0
2017-01-23,-6.8,-12.0,0.0,0.0,0.0,6.8,1035.6,2017,1,23,Winter,0,12.0,0,1,0,0,0.0
2017-01-24,-3.4,-13.0,3.0,0.0,0.0,5.1,1036.7,2017,1,24,Winter,0,16.0,0,1,0,0,0.0
2017-01-25,-2.9,-9.0,3.0,0.0,0.0,5.0,1031.6,2017,1,25,Winter,0,12.0,0,1,0,0,0.0
2017-01-26,0.4,-6.0,9.0,0.0,0.0,16.5,1024.4,2017,1,26,Winter,0,15.0,0,1,0,1,0.0
2017-01-27,-1.9,-7.0,4.0,0.0,0.0,10.5,1030.0,2017,1,27,Winter,0,11.0,0,1,0,1,0.0
2017-01-28,-1.6,-7.0,2.0,0.0,0.0,4.5,1021.6,2017,1,28,Winter,0,9.0,0,1,0,0,0.0
2017-01-30,-2.3,-13.0,1.0,0.0,0.0,11.4,1036.8,2017,1,30,Winter,0,14.0,0,1,0,1,0.0
2017-01-31,-1.5,-7.0,6.0,0.0,0.0,7.2,1029.3,2017,1,31,Winter,0,13.0,0,1,0,0,0.0
2017-02-01,-3.1,-7.0,4.0,0.0,0.0,10.4,1037.0,2017,2,1,Spring,0,11.0,0,1,0,1,0.0
2017-02-02,-2.3,-10.0,5.0,0.0,0.0,6.9,1030.4,2017,2,2,Spring,0,15.0,0,1,0,0,0.0
2017-02-03,0.2,-8.0,6.0,0.0,0.0,4.6,1023.3,2017,2,3,Spring,0,14.0,0,1,0,0,0.0
2017-02-04,3.3,-4.0,9.0,0.0,0.0,6.8,1018.4,2017,2,4,Spring,0,13.0,0,1,0,0,0.0
2017-02-05,3.8,-4.0,8.7,0.0,0.0,15.4,1022.4,2017,2,5,Spring,0,12.7,0,1,0,1,0.0
2017-02-06,0.4,-2.0,4.0,0.0,0.0,11.7,1031.9,2017,2,6,Spring,0,6.0,0,1,0,1,0.0
2017-02-07,-1.9,-4.0,2.4,0.0,0.0,5.2,1031.3,2017,2,7,Spring,0,6.4,0,1,0,0,0.0
2017-02-11,0.2,-7.0,9.0,0.0,0.0,8.4,1028.2,2017,2,11,Spring,0,16.0,0,1,0,0,0.0
2017-02-12,0.9,-8.0,10.0,0.0,0.0,5.9,1026.7,2017,2,12,Spring,0,18.0,0,1,0,0,0.0
2017-02-13,3.4,-7.0,12.0,0.0,0.0,7.4,1031.5,2017,2,13,Spring,0,19.0,0,1,0,0,0.0
2017-02-14,-1.1,-7.0,5.0,0.0,0.0,5.2,1032.8,2017,2,14,Spring,0,12.0,0,1,0,0,0.0
2017-02-15,2.5,-3.4,8.0,0.0,0.0,6.2,1020.5,2017,2,15,Spring,0,11.4,0,1,0,0,0.0
2017-02-16,3.7,0.0,9.0,0.0,0.0,17.8,1019.2,2017,2,16,Spring,0,9.0,0,1,0,1,0.0
2017-02-17,1.0,-5.0,6.0,0.0,0.0,17.0,1030.5,2017,2,17,Spring,0,11.0,0,1,0,1,0.0
2017-02-18,3.5,-7.0,10.0,0.0,0.0,7.2,1021.9,2017,2,18,Spring,0,17.0,0,1,0,0,0.0
2017-02-19,5.0,-3.0,14.0,0.0,0.0,16.2,1010.8,2017,2,19,Spring,0,17.0,0,1,0,1,0.0
2017-02-20,-0.8,-4.0,4.5,0.0,0.0,13.1,1031.1,2017,2,20,Spring,0,8.5,0,1,0,1,0.0
2017-02-22,1.5,-5.0,7.0,0.0,0.0,14.7,1023.6,2017,2,22,Spring,0,12.0,0,1,0,1,0.0
2017-02-23,3.3,-4.0,8.0,0.0,0.0,13.4,1028.3,2017,2,23,Spring,0,12.0,0,1,0,1,0.0
2017-02-24,6.3,-4.2,12.0,0.0,0.0,12.3,1024.9,2017,2,24,Spring,0,16.2,0,1,0,1,1.2999999999999998
2017-02-25,5.4,2.0,14.0,0.0,0.0,12.2,1022.9,2017,2,25,Spring,0,12.0,0,0,0,1,0.40000000000000036
2017-02-26,5.6,-3.0,13.0,0.0,0.0,7.4,1024.4,2017,2,26,Spring,0,16.0,0,1,0,0,0.5999999999999996
2017-02-27,8.3,-0.8,16.0,0.0,0.0,7.0,1021.0,2017,2,27,Spring,0,16.8,0,1,0,0,3.3000000000000007
2017-02-28,10.1,4.0,16.0,0.0,0.0,11.8,1018.8,2017,2,28,Spring,0,12.0,0,0,0,1,5.1
2017-03-02,5.9,-4.0,14.6,0.0,0.0,9.5,1017.9,2017,3,2,Spring,1,18.6,0,1,0,0,0.9000000000000004
2017-03-03,5.9,-3.0,14.4,0.0,0.0,10.2,1014.2,2017,3,3,Spring,1,17.4,0,1,0,1,0.9000000000000004
2017-03-04,6.9,-1.8,12.0,0.0,0.0,5.4,1017.5,2017,3,4,Spring,1,13.8,0,1,0,0,1.9000000000000004
2017-03-05,3.7,1.8,10.6,0.0,0.0,17.1,1023.1,2017,3,5,Spring,1,8.799999999999999,0,0,0,1,0.0
2017-03-06,3.1,-4.0,8.3,0.0,0.0,12.6,1020.6,2017,3,6,Spring,1,12.3,0,1,0,1,0.0
2017-03-09,9.4,-0.3,17.1,0.0,0.0,16.0,1014.1,2017,3,9,Spring,1,17.400000000000002,0,1,0,1,4.4
2017-03-10,11.8,0.1,19.0,0.0,0.0,7.0,1015.8,2017,3,10,Spring,1,18.9,0,0,0,0,6.800000000000001
2017-03-11,12.8,5.0,20.0,0.0,0.0,11.2,1017.9,2017,3,11,Spring,1,15.0,0,0,0,1,7.800000000000001
2017-03-12,6.8,5.0,13.0,0.0,0.0,15.6,1026.6,2017,3,12,Spring,1,8.0,0,0,0,1,1.7999999999999998
2017-03-13,8.6,-1.0,15.0,0.0,0.0,9.0,1026.9,2017,3,13,Spring,1,16.0,0,1,0,0,3.5999999999999996
2017-03-14,9.1,-2.0,17.0,0.0,0.0,9.0,1025.8,2017,3,14,Spring,1,19.0,0,1,0,0,4.1
2017-03-15,7.6,-1.0,14.6,0.0,0.0,8.1,1023.9,2017,3,15,Spring,1,15.6,0,1,0,0,2.5999999999999996
2017-03-16,10.6,2.0,16.0,0.0,0.0,7.5,1019.1,2017,3,16,Spring,1,14.0,0,0,0,0,5.6
