year,month,tavg,tmin,tmax,prcp,snow,wspd,pres,GDD,extreme_high,extreme_low,rain_day,strong_wind
2017,1,-2.253846153846154,-7.842307692307693,3.3499999999999996,0.0,0.0,8.607692307692307,1029.4884615384615,0.0,0,26,0,8
2017,2,2.466666666666667,-4.2250000000000005,8.858333333333333,0.0,0.0,10.175,1025.4916666666666,10.7,0,22,0,12
2017,3,9.204347826086956,1.8956521739130436,15.43913043478261,0.0,0.0,10.273913043478261,1021.1021739130434,99.9,0,8,0,10
2017,4,16.946428571428573,8.757142857142856,23.685714285714287,0.0,0.0,10.421428571428573,1012.3357142857143,334.5,3,0,0,12
2017,5,23.791666666666668,15.345833333333333,30.525000000000002,0.0,0.0,10.7125,1009.125,451.0,13,0,0,15
2017,6,26.978947368421053,19.389473684210525,33.22631578947368,0.0,0.0,9.944736842105263,1005.8684210526316,417.6,16,0,0,9
2017,7,27.894736842105264,23.789473684210527,32.5,0.0,0.0,7.689473684210526,1003.8157894736842,435.0,16,0,0,2
2017,8,26.56875,20.75625,31.9,0.0,0.0,8.5625,1006.13125,345.1,11,0,0,4
2017,9,21.782758620689656,16.28965517241379,28.444827586206895,0.0,0.0,7.948275862068965,1011.803448275862,486.7,11,0,0,6
2017,10,12.345454545454546,7.595454545454545,18.195454545454545,0.0,0.0,7.413636363636363,1023.2363636363636,161.6,0,1,0,2
2017,11,3.026923076923077,-2.553846153846154,9.642307692307693,0.0,0.0,8.676923076923076,1024.7326923076923,27.200000000000003,0,19,0,8
2017,12,-1.2357142857142858,-7.375,4.628571428571428,0.0,0.0,9.332142857142857,1028.305357142857,0.0,0,28,0,10
2018,1,-3.528,-8.9,2.084,0.0,0.0,9.752,1028.464,0.0,0,25,0,12
2018,2,-0.9333333333333332,-7.866666666666667,5.604166666666667,0.0,0.0,9.2875,1024.3999999999999,0.0,0,23,0,9
2018,3,8.514814814814814,1.6888888888888889,14.785185185185185,0.0,0.0,8.274074074074074,1019.3851851851853,122.5,0,12,0,8
2018,4,17.357142857142858,9.49047619047619,23.628571428571426,0.0,0.0,9.757142857142858,1012.3428571428572,260.2,0,0,0,8
2018,5,22.704,15.132,29.375999999999998,0.0,0.0,9.472000000000001,1008.3580000000001,442.6,12,0,0,9
2018,6,27.373684210526317,20.142105263157895,33.91578947368421,0.0,0.0,9.157894736842104,1004.142105263158,425.1,16,0,0,3
2018,7,28.783333333333335,24.76111111111111,33.08888888888889,0.0,0.0,7.527777777777778,1005.2388888888888,428.09999999999997,16,0,0,1
2018,8,27.82608695652174,23.56086956521739,32.608695652173914,0.0,0.0,7.5,1007.2130434782609,525.0,19,0,0,0
2018,9,20.36521739130435,13.960869565217392,26.721739130434784,0.0,0.0,10.6,1014.5347826086957,353.40000000000003,3,0,0,10
2018,10,12.012500000000001,4.795833333333333,19.958333333333332,0.0,0.0,7.708333333333333,1021.6374999999999,168.3,0,1,0,4
2018,11,5.006666666666666,-0.9766666666666666,11.65,0.0,0.0,7.6,1024.7866666666666,33.4,0,20,0,7
2018,12,-2.524,-8.644,3.56,0.0,0.0,9.064,1030.344,0.0,0,23,0,9
2019,1,-1.9642857142857142,-8.7,4.878571428571428,0.0,0.0,9.053571428571429,1029.35,0.0,0,28,0,13
2019,2,0.0454545454545455,-6.490909090909091,6.0,0.0,0.0,8.868181818181817,1026.490909090909,2.4000000000000004,0,22,0,3
2019,3,9.6,1.056,16.764,0.0,0.0,10.835999999999999,1017.7760000000001,115.1,0,10,0,11
2019,4,15.885714285714286,7.852380952380953,22.238095238095237,0.0,0.0,11.09047619047619,1013.2666666666667,228.6,0,0,0,8
